year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
2022,SE,Sweden,11/09/2022,green1,"Environmental Party - 
The Greens ",Miljöpartiet de gröna,,,,leftsoc1,Left Party,Vänsterpartiet,social1,Social Democratic Workers’ Party of Sweden,,,,,conserv1,Moderate Coalition Party,Moderata samlingspartiet,,,
1991,CH,Switzerland,20/10/1991,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",,,,leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,"Free Democratic Party of 
Switzerland ","Freisinnig
Demokratische Partei",,,
1995,CH,Switzerland,22/10/1995,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",,,,leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,"Free Democratic Party of 
Switzerland ","Freisinnig
Demokratische Partei",,,
1999,CH,Switzerland,24/10/1999,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",,,,leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,"Free Democratic Party of 
Switzerland ","Freisinnig
Demokratische Partei",,,
2003,CH,Switzerland,19/10/2003,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",,,,leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,"Free Democratic Party of 
Switzerland ","Freisinnig
Demokratische Partei",,,
2007,CH,Switzerland,21/10/2007,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",,,,leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,"Free Democratic Party of 
Switzerland ","Freisinnig
Demokratische Partei",,,
2011,CH,Switzerland,23/10/2011,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",green2,"Green Liberal Party of 
Switzerland","Grünliberale Partei 
der Schweiz",leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,FDP: The Liberals,FDP: Die Liberalen,,,
2015,CH,Switzerland,18/10/2015,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",green2,"Green Liberal Party of 
Switzerland","Grünliberale Partei 
der Schweiz",leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,FDP: The Liberals,FDP: Die Liberalen,,,
2019,CH,Switzerland,20/10/2019,green1,"Green Party of 
Switzerland","Grüne Partei der 
Schweiz",green2,"Green Liberal Party of 
Switzerland","Grünliberale Partei 
der Schweiz",leftsoc1,Swiss Party of Labour ,Partei der Arbeit der Schweiz,social1,"Social Democratic Party 
of Switzerland","Sozialdemokratische 
Partei der Schweiz",,,,liberal1,FDP: The Liberals,FDP: Die Liberalen,,,
1992,,United Kingdom,09/04/1992,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
1997,,United Kingdom,01/05/1997,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2001,,United Kingdom,07/06/2001,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2005,,United Kingdom,05/05/2005,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2010,,United Kingdom,06/05/2010,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2015,,United Kingdom,07/05/2015,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2017,,United Kingdom,08/06/2017,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2019,,United Kingdom,12/12/2019,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
2024,,United Kingdom,12/12/2019,green1,"Green Party of England 
and Wales",,,,,,,,social1,Labour Party,,,,,conserv1,Conservative and Unionist Party,,,,
