year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
2017,NL,Netherlands,15/03/2017,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,liberal1,Peoples Party for Freedom and Democracy,Volkspartij voor Vrijheid en Democratie,,,
2021,NL,Netherlands,17/03/2021,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,liberal1,Peoples Party for Freedom and Democracy,Volkspartij voor Vrijheid en Democratie,,,
1993,NO,Norway,13/09/1993,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
1997,NO,Norway,16/09/1997,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2001,NO,Norway,10/09/2001,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2005,NO,Norway,12/09/2005,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2009,NO,Norway,14/09/2009,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2013,NO,Norway,09/09/2013,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2017,NO,Norway,11/09/2017,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
2021,NO,Norway,13/09/2021,green1,The Greens,"Miljøpartiet Dei 
Grøne",,,,leftsoc1,Socialist Left Party,Sosialistisk Venstreparti,social1,Norwegian Labour Party,Det norske arbeiderparti,,,,conserv1,Right,Høgre,,,
1991,,Poland,27/10/1991,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal1,Democratic Union,Unia Demokratyczna,,,
1993,,Poland,19/09/1993,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal1,Democratic Union,Unia Demokratyczna,,,
1997,,Poland,21/09/1997,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,relig5,"Solidarity Electoral 
Alliance","Akcja Wyborcza 
Solidarność",,,
2001,,Poland,23/09/2001,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2005,,Poland,25/09/2005,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2007,,Poland,21/10/2007,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2011,,Poland,09/10/2011,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2015,,Poland,25/10/2015,green1,,,,,,,,,social7,United Left,Zjednoczona Lewica,,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2019,,Poland,13/10/2019,green1,,,,,,,,,social3,Democratic Left Alliance,"Sojusz Lewicy 
Demokratycznej",,,,liberal5,Civic Platform,Platforma Obywatelska,,,
2023,,Poland,15/10/2023,green1,,,,,,,,,social8,New Left,Nowa Lewica,,,,liberal5,Civic Platform,Platforma Obywatelska,,,
1991,PT,Portugal,06/10/1991,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc1,Popular Democratic Union,,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
1995,PT,Portugal,01/10/1995,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc1,Popular Democratic Union,,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
1999,PT,Portugal,10/10/1999,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2002,PT,Portugal,17/03/2002,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2005,PT,Portugal,20/02/2005,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2009,PT,Portugal,27/09/2009,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2011,PT,Portugal,05/06/2011,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2015,PT,Portugal,04/10/2015,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2019,PT,Portugal,06/10/2019,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
2022,PT,Portugal,30/01/2022,green1,"Ecologist Party –  
“The Greens” ","Partido Ecologista 
""Os Verdes""",,,,leftsoc2,Block of the Left ,Bloco de Esquerda,social1,Socialist Party,Partido Socialista,,,,liberal1,Social Democratic Party,Partido Social Democrata,,,
1990,,Romania,20/05/1990,green1,"Ecological Movement 
of Romania","Mișcarea Ecologistă 
din România",,,,,,,social1,National Salvation Front,Frontul Salvării Naționale,,,,liberal1,National Liberal Party,Partidul Național Liberal,,,
1992,,Romania,27/09/1992,green1,"Ecological Movement 
of Romania","Mișcarea Ecologistă 
din România",,,,,,,social1,Democratic National Salvation Party,Frontul Democrat al Salvării Nationale,,,,allia1,Romanian Democratic Convention,Convenţia Democrată Română,,,
1996,,Romania,17/11/1996,green1,,,,,,,,,social1,Social Democratic Party,Partidul Social Democrat,,,,allia1,Romanian Democratic Convention,Convenţia Democrată Română,,,
2000,,Romania,26/11/2000,green1,,,,,,,,,social1,"Social Democratic Pole 
of Romania","Polul Democrației 
Sociale",,,,social2,Democratic Party ,Partidul Democrat,,,
2004,,Romania,28/11/2004,green1,,,,,,,,,social1,Social Democratic Party,Partidul Social Democrat,,,,liberal2,"Truth and Justice 
Alliance",Alianţa Dreptate i Adevăr,,,
2008,,Romania,30/11/2008,green1,,,,,,,,,social1,Social Democratic Party,Partidul Social Democrat,,,,liberal3,Democratic Liberal Party,Partidul Democrat Liberal,,,
